ItemID,ReportType,ItemCategory,ItemName,Location,DateReported,ReporterRole,Status,Description
LF-001,Lost,Personal,Blue RSU student ID card,Library 2nd floor,2026-06-01,Student,Pending,Card lost after group study session.
LF-002,Found,Electronics,Black phone charger,ICT Lab,2026-06-02,Student,Available,USB-C charger found near computer desk.
LF-003,Lost,Personal,Silver water bottle,Cafeteria,2026-06-03,Student,In Review,Bottle has sticker on the side.
LF-004,Found,Stationery,Green notebook,Building 6 lobby,2026-06-04,Staff,Claimed,Notebook returned to owner after verification.
LF-005,Lost,Personal,Small black umbrella,Bus stop,2026-06-05,Student,Pending,Lost during rainy afternoon.
LF-006,Found,Personal,Brown wallet,Sports area,2026-06-06,Security,Available,Wallet submitted to admin office.
LF-007,Lost,Electronics,Wireless earbuds case,Classroom 6-200,2026-06-07,Student,Closed,Owner later found the item.
LF-008,Found,Personal,Room key with red tag,Parking area,2026-06-08,Staff,Available,Key found near motorcycle parking.
LF-009,Lost,Other,One Piece keychain,ICT Lab,2026-07-08,Student,Pending,Dropped near the workstations.
LF-010,Found,Stationery,Flutter Development Book,Library 2nd floor,2026-07-09,Staff,Available,Found on a study desk.
LF-011,Lost,Other,Orange basketball,Sports area,2026-07-08,Student,Pending,Left behind after a game.
LF-012,Found,Clothing,Black Hoodie,Building 6 Hallway,2026-07-10,Student,Available,Found hanging on a chair.